,top_speed_kmh,battery_capacity_kWh,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,drivetrain,segment
0,155,37.8,192.0,235.0,156,225,7.0,67.0,FWD,B - Compact
1,155,37.8,192.0,235.0,149,225,7.0,67.0,FWD,B - Compact
2,200,50.8,102.0,345.0,158,280,5.9,79.0,FWD,JB - Compact
3,200,50.8,102.0,345.0,158,280,6.2,79.0,FWD,JB - Compact
6,150,50.8,102.0,260.0,128,320,9.0,85.0,FWD,JB - Compact
7,200,50.8,102.0,345.0,164,310,6.0,85.0,FWD,JB - Compact
8,160,52.0,184.0,285.0,138,310,7.4,70.0,FWD,B - Compact
9,170,52.0,184.0,300.0,144,305,6.4,70.0,FWD,B - Compact
10,210,75.8,150.0,435.0,146,465,6.0,150.0,RWD,JE - Executive
11,210,94.9,180.0,565.0,151,575,5.4,200.0,RWD,JE - Executive
12,210,94.9,180.0,855.0,157,560,4.5,200.0,AWD,JE - Executive
13,210,75.8,150.0,435.0,136,495,6.0,150.0,RWD,JE - Executive
14,210,94.9,180.0,565.0,141,610,5.4,200.0,RWD,JE - Executive
15,210,94.9,180.0,855.0,147,590,4.7,200.0,AWD,JE - Executive
16,160,59.0,216.0,310.0,156,340,8.1,110.0,RWD,JC - Medium
17,180,77.0,288.0,545.0,162,435,6.7,120.0,RWD,JC - Medium
18,180,77.0,288.0,679.0,165,410,6.6,120.0,AWD,JC - Medium
19,180,77.0,288.0,679.0,165,415,5.4,120.0,AWD,JC - Medium
20,160,59.0,216.0,310.0,159,325,8.1,110.0,RWD,JC - Medium
21,180,77.0,288.0,545.0,169,420,6.7,120.0,RWD,JC - Medium
22,180,77.0,288.0,679.0,171,395,6.6,120.0,AWD,JC - Medium
23,180,77.0,288.0,679.0,171,395,5.4,120.0,AWD,JC - Medium
24,210,75.8,150.0,450.0,166,395,7.0,150.0,RWD,JD - Large
25,210,75.8,150.0,450.0,139,410,7.0,150.0,RWD,JD - Large
26,210,94.9,180.0,485.0,145,510,6.6,190.0,RWD,JD - Large
27,210,94.9,180.0,855.0,149,500,5.9,200.0,AWD,JD - Large
28,210,94.9,180.0,485.0,171,490,6.6,190.0,RWD,JD - Large
29,210,94.9,180.0,855.0,176,480,5.9,200.0,AWD,JD - Large
30,240,94.9,180.0,855.0,156,530,3.9,200.0,AWD,JE - Executive
31,240,94.9,180.0,855.0,149,555,3.9,200.0,AWD,JE - Executive
32,230,94.9,180.0,855.0,169,470,4.3,200.0,AWD,JD - Large
33,230,94.9,180.0,855.0,164,495,4.3,200.0,AWD,JD - Large
34,250,97.0,396.0,865.0,184,525,2.8,281.0,AWD,F - Luxury
35,250,97.0,396.0,1027.0,182,525,2.5,281.0,AWD,F - Luxury
36,245,97.0,396.0,740.0,172,540,3.4,281.0,AWD,F - Luxury
37,245,97.0,396.0,625.0,169,540,4.0,281.0,AWD,F - Luxury
59,160,60.5,126.0,310.0,144,340,7.3,75.0,FWD,JC - Medium
60,150,44.9,104.0,180.0,132,265,12.3,50.0,FWD,C - Medium
62,160,60.5,126.0,310.0,142,350,7.0,65.0,FWD,C - Medium
63,150,30.0,94.0,175.0,136,190,11.1,45.0,FWD,B - Compact
64,150,43.2,90.0,175.0,134,270,12.1,60.0,FWD,B - Compact
65,150,43.2,90.0,220.0,139,265,9.1,60.0,FWD,B - Compact
66,220,61.4,128.0,380.0,133,365,7.5,75.0,RWD,D - Large
67,180,82.5,172.0,670.0,159,445,3.8,100.0,AWD,D - Large
68,180,82.5,172.0,360.0,145,480,5.9,100.0,RWD,D - Large
69,175,71.8,132.0,310.0,171,360,9.3,72.0,FWD,JD - Large
70,175,87.0,160.0,330.0,174,425,9.6,85.0,FWD,JD - Large
71,215,82.5,172.0,690.0,181,400,4.5,115.0,AWD,JD - Large
72,215,82.5,172.0,380.0,171,415,6.7,115.0,RWD,JD - Large
75,160,59.0,216.0,310.0,156,360,6.7,110.0,RWD,C - Medium
76,160,77.0,288.0,310.0,157,460,7.0,125.0,RWD,C - Medium
77,200,79.0,288.0,545.0,149,465,5.6,135.0,RWD,C - Medium
78,180,77.0,288.0,545.0,142,445,6.8,120.0,RWD,JC - Medium
79,180,77.0,288.0,545.0,150,425,5.5,120.0,AWD,JC - Medium
80,210,102.0,288.0,610.0,192,460,5.3,165.0,AWD,JF - Luxury
85,150,46.3,216.0,260.0,135,285,9.9,78.0,FWD,C - Medium
86,150,50.8,102.0,260.0,122,325,9.1,78.0,FWD,C - Medium
87,150,46.3,216.0,260.0,132,290,9.9,78.0,FWD,C - Medium
88,150,50.8,102.0,260.0,119,335,9.1,78.0,FWD,C - Medium
89,130,46.3,216.0,220.0,217,180,13.3,78.0,FWD,N - Passenger Van
90,130,68.0,324.0,220.0,202,260,14.2,79.0,FWD,N - Passenger Van
91,130,46.3,216.0,220.0,219,180,13.3,78.0,FWD,N - Passenger Van
92,130,68.0,324.0,220.0,204,260,14.2,79.0,FWD,N - Passenger Van
93,150,50.8,102.0,260.0,128,300,9.0,85.0,FWD,JB - Compact
98,125,25.0,72.0,125.0,109,165,19.1,29.0,FWD,A - Mini
99,125,25.0,72.0,113.0,114,160,13.7,29.0,FWD,A - Mini
103,135,21.3,108.0,220.0,112,135,9.0,40.0,FWD,B - Compact
104,150,37.3,192.0,220.0,122,235,9.0,67.0,FWD,B - Compact
105,135,21.3,108.0,220.0,112,135,9.0,40.0,FWD,B - Compact
106,150,37.3,192.0,220.0,125,230,9.0,67.0,FWD,B - Compact
107,135,21.3,108.0,220.0,112,135,9.0,40.0,FWD,B - Compact
108,150,37.3,192.0,220.0,118,235,9.0,67.0,FWD,B - Compact
109,150,50.8,102.0,260.0,124,310,9.0,79.0,FWD,JB - Compact
111,180,79.0,288.0,679.0,148,455,5.3,135.0,AWD,D - Large
112,180,77.0,288.0,545.0,135,455,6.4,120.0,RWD,D - Large
113,160,52.0,192.0,310.0,163,320,9.0,85.0,RWD,D - Large
114,180,79.0,288.0,679.0,153,440,5.3,135.0,AWD,JC - Medium
115,180,77.0,288.0,545.0,139,435,6.4,120.0,RWD,JC - Medium
116,160,52.0,192.0,310.0,137,305,8.7,85.0,RWD,JC - Medium
118,180,91.0,376.0,675.0,165,445,4.6,115.0,AWD,JD - Large
120,180,91.0,376.0,525.0,152,480,5.9,115.0,RWD,JD - Large
121,200,91.0,376.0,950.0,177,425,3.8,115.0,AWD,JD - Large
122,200,91.0,376.0,950.0,177,435,3.8,115.0,AWD,JD - Large
123,200,91.0,376.0,950.0,178,415,3.9,115.0,AWD,JD - Large
124,200,91.0,376.0,950.0,178,410,3.9,115.0,AWD,JD - Large
140,185,74.0,384.0,350.0,143,390,7.8,200.0,RWD,JC - Medium
141,200,74.0,384.0,605.0,157,375,5.5,200.0,AWD,JC - Medium
142,235,74.0,384.0,700.0,159,360,4.0,200.0,AWD,JC - Medium
143,235,74.0,384.0,700.0,163,350,4.2,190.0,AWD,JD - Large
150,185,60.0,288.0,350.0,136,345,8.5,150.0,RWD,JC - Medium
151,185,80.0,384.0,605.0,162,445,5.3,205.0,AWD,JC - Medium
152,185,80.0,384.0,350.0,155,450,7.5,205.0,RWD,JC - Medium
153,260,80.0,384.0,740.0,179,390,3.4,205.0,AWD,JC - Medium
154,185,74.0,384.0,350.0,136,495,7.4,200.0,RWD,D - Large
155,185,74.0,384.0,605.0,143,440,5.1,200.0,AWD,D - Large
156,185,50.0,264.0,350.0,117,335,8.8,120.0,RWD,D - Large
162,200,84.7,432.0,696.0,208,380,4.8,85.0,AWD,JD - Large
163,150,50.8,102.0,260.0,132,310,9.0,85.0,FWD,JB - Compact
172,260,80.0,384.0,770.0,178,385,3.5,205.0,AWD,JC - Medium
173,185,80.0,384.0,350.0,143,455,7.3,205.0,RWD,JC - Medium
174,185,80.0,384.0,605.0,154,440,5.2,205.0,AWD,JC - Medium
175,185,60.0,288.0,350.0,140,345,8.7,150.0,RWD,JC - Medium
176,190,73.0,348.0,350.0,165,355,8.5,160.0,RWD,JF - Luxury
177,200,96.0,456.0,600.0,188,435,6.0,194.0,AWD,JF - Luxury
178,220,96.0,456.0,740.0,190,420,4.6,194.0,AWD,JF - Luxury
179,200,96.0,456.0,700.0,190,425,5.3,194.0,AWD,JF - Luxury
180,185,96.0,456.0,350.0,171,450,9.4,194.0,RWD,JF - Luxury
181,167,64.8,96.0,255.0,140,385,7.8,70.0,FWD,JC - Medium
182,150,48.1,96.0,260.0,122,310,8.2,80.0,FWD,B - Compact
185,160,64.0,96.0,266.0,149,365,8.0,100.0,FWD,JC - Medium
186,160,64.0,96.0,435.0,158,350,5.6,100.0,AWD,JD - Large
187,160,64.0,96.0,300.0,145,340,7.5,35.0,FWD,JC - Medium
194,270,112.0,6600.0,1200.0,143,665,3.0,184.0,AWD,F - Luxury
200,160,50.8,104.0,250.0,145,300,7.7,68.0,RWD,C - Medium
201,160,61.7,104.0,250.0,142,360,7.9,116.0,RWD,C - Medium
203,200,61.7,104.0,600.0,160,320,3.8,116.0,AWD,C - Medium
218,160,66.5,300.0,385.0,146,395,8.6,100.0,FWD,JC - Medium
220,160,66.5,300.0,390.0,162,350,7.7,100.0,AWD,JC - Medium
221,160,66.5,300.0,520.0,162,350,6.0,100.0,AWD,JC - Medium
223,160,66.5,300.0,390.0,168,345,8.0,100.0,AWD,JC - Medium
224,160,66.5,300.0,520.0,168,345,6.2,100.0,AWD,JC - Medium
226,210,90.6,360.0,765.0,173,515,6.3,141.0,AWD,E - Executive
228,210,90.6,360.0,858.0,173,505,4.7,141.0,AWD,E - Executive
229,210,90.6,360.0,858.0,207,450,4.2,141.0,AWD,E - Executive
230,220,90.6,360.0,950.0,208,450,3.5,141.0,AWD,E - Executive
235,210,90.6,360.0,858.0,214,425,4.3,141.0,AWD,JE - Executive
236,240,90.6,360.0,1000.0,242,420,3.5,141.0,AWD,JE - Executive
237,210,96.0,360.0,565.0,165,570,6.7,130.0,RWD,F - Luxury
250,160,60.0,192.0,365.0,282,210,12.0,60.0,FWD,N - Passenger Van
251,160,60.0,192.0,365.0,282,215,12.0,60.0,FWD,N - Passenger Van
252,140,90.0,288.0,365.0,249,315,12.2,96.0,FWD,N - Passenger Van
253,160,90.0,288.0,365.0,276,320,12.1,96.0,FWD,N - Passenger Van
254,180,116.0,216.0,1164.0,267,360,4.7,150.0,AWD,JF - Luxury
255,160,60.0,192.0,360.0,254,215,12.0,60.0,FWD,N - Passenger Van
256,160,60.0,192.0,360.0,259,220,12.0,60.0,FWD,N - Passenger Van
257,160,90.0,288.0,360.0,260,325,12.1,96.0,FWD,N - Passenger Van
266,200,90.0,96.0,700.0,170,435,4.5,135.0,AWD,JE - Executive
267,200,73.5,118.0,700.0,181,365,4.5,110.0,AWD,JE - Executive
268,200,90.0,96.0,850.0,185,430,3.9,100.0,AWD,JF - Luxury
269,200,73.5,118.0,850.0,198,355,3.9,110.0,AWD,JF - Luxury
270,200,90.0,96.0,850.0,185,440,4.1,190.0,AWD,JF - Luxury
271,200,73.5,118.0,850.0,196,360,4.1,110.0,AWD,JF - Luxury
272,200,90.0,96.0,700.0,167,500,4.0,100.0,AWD,E - Executive
273,200,73.5,118.0,700.0,175,410,4.0,110.0,AWD,E - Executive
274,200,90.0,96.0,700.0,178,485,4.0,135.0,AWD,E - Executive
275,200,73.5,118.0,700.0,169,400,4.0,110.0,AWD,E - Executive
276,200,90.0,96.0,850.0,178,505,3.8,100.0,AWD,F - Luxury
277,200,73.5,118.0,850.0,191,415,3.8,110.0,AWD,F - Luxury
285,170,50.8,102.0,270.0,128,320,9.2,85.0,FWD,C - Medium
286,170,50.8,102.0,270.0,123,310,9.3,85.0,FWD,C - Medium
289,150,46.3,216.0,260.0,131,290,8.7,78.0,FWD,B - Compact
290,150,48.1,96.0,260.0,120,315,8.1,80.0,FWD,B - Compact
292,170,73.0,96.0,260.0,145,365,9.0,90.0,FWD,JC - Medium
294,150,50.8,102.0,260.0,126,285,9.0,85.0,FWD,JB - Compact
295,130,46.3,216.0,270.0,217,180,13.3,78.0,FWD,N - Passenger Van
296,130,68.0,324.0,270.0,202,260,14.2,79.0,FWD,N - Passenger Van
297,130,46.3,216.0,270.0,219,180,13.3,78.0,FWD,N - Passenger Van
298,130,68.0,324.0,260.0,204,260,14.2,79.0,FWD,N - Passenger Van
299,150,46.3,216.0,260.0,136,270,9.9,78.0,FWD,JB - Compact
300,150,50.8,102.0,260.0,125,300,9.1,85.0,FWD,JB - Compact
301,150,46.3,216.0,260.0,132,290,9.0,78.0,FWD,B - Compact
302,150,48.1,96.0,260.0,120,310,8.2,80.0,FWD,B - Compact
303,170,73.0,96.0,345.0,143,380,8.8,90.0,FWD,JC - Medium
306,170,50.8,102.0,260.0,124,300,9.8,80.0,FWD,C - Medium
309,170,73.0,96.0,345.0,150,370,9.7,90.0,FWD,JD - Large
314,130,46.3,216.0,270.0,217,180,13.3,78.0,FWD,N - Passenger Van
315,130,68.0,324.0,270.0,202,260,14.2,79.0,FWD,N - Passenger Van
316,130,46.3,216.0,270.0,219,180,13.3,78.0,FWD,N - Passenger Van
317,130,68.0,324.0,270.0,204,260,14.2,79.0,FWD,N - Passenger Van
318,205,79.0,324.0,740.0,142,455,4.5,125.0,AWD,D - Large
319,205,79.0,324.0,740.0,142,450,4.2,125.0,AWD,D - Large
320,205,79.0,324.0,490.0,130,475,6.2,125.0,RWD,D - Large
322,210,107.0,204.0,840.0,183,515,5.0,150.0,AWD,JE - Executive
323,210,107.0,204.0,910.0,194,495,4.7,150.0,AWD,JE - Executive
324,180,107.0,204.0,490.0,166,530,7.8,150.0,RWD,JE - Executive
325,200,94.0,110.0,686.0,165,485,3.8,135.0,AWD,E - Executive
326,180,94.0,110.0,343.0,157,495,7.4,135.0,RWD,E - Executive
327,220,95.0,180.0,650.0,184,470,5.2,200.0,AWD,JD - Large
328,240,95.0,180.0,820.0,186,470,4.1,200.0,AWD,JD - Large
329,220,95.0,180.0,563.0,177,495,5.7,200.0,RWD,JD - Large
330,260,95.0,180.0,1001.0,183,460,3.3,200.0,AWD,JD - Large
333,220,97.0,396.0,610.0,188,510,4.7,281.0,AWD,F - Luxury
334,230,97.0,396.0,610.0,175,565,4.6,281.0,AWD,F - Luxury
336,240,97.0,396.0,710.0,188,510,3.8,281.0,AWD,F - Luxury
337,250,97.0,396.0,710.0,177,565,3.7,281.0,AWD,F - Luxury
338,250,97.0,396.0,710.0,186,510,3.7,281.0,AWD,F - Luxury
340,250,97.0,396.0,790.0,176,535,3.3,281.0,AWD,F - Luxury
341,250,97.0,396.0,790.0,185,505,3.3,281.0,AWD,F - Luxury
342,230,97.0,396.0,420.0,168,575,4.8,281.0,RWD,F - Luxury
343,230,97.0,396.0,420.0,176,530,4.8,281.0,RWD,F - Luxury
345,260,97.0,396.0,940.0,174,535,2.7,281.0,AWD,F - Luxury
346,250,97.0,396.0,940.0,188,495,2.8,281.0,AWD,F - Luxury
347,290,97.0,396.0,1340.0,184,475,2.3,281.0,AWD,F - Luxury
348,305,97.0,396.0,1340.0,180,475,2.2,281.0,AWD,F - Luxury
349,260,97.0,396.0,1110.0,174,525,2.4,281.0,AWD,F - Luxury
350,250,97.0,396.0,1110.0,188,485,2.5,281.0,AWD,F - Luxury
